id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/2870299,Prince Henry Stuart Defamed,Shakespeare Quarterly,1981,,article,jstor,1981-04-01,1,32,http://www.jstor.org/stable/2870299,Robert B. Bennett,Folger Shakespeare Library,eng,124,127,,1349,3,unigram; bigram; trigram
http://www.jstor.org/stable/3844042,"Two ""Hamlets""",Shakespeare Quarterly,2002,,article,jstor,2002-04-01,1,53,http://www.jstor.org/stable/3844042,Kate D. Levin,Folger Shakespeare Library,eng,106,115,,5358,10,unigram; bigram; trigram
http://www.jstor.org/stable/2868917,"Shakespeare at the Old Globe, 1971",Shakespeare Quarterly,1971,,article,jstor,1971-10-01,,4,http://www.jstor.org/stable/2868917,Lynn K. Horobetz,Folger Shakespeare Library,eng,385,387,,1380,3,unigram; bigram; trigram
http://www.jstor.org/stable/2866091,Review Article,Shakespeare Quarterly,1955,,article,jstor,1955-10-01,4,6,http://www.jstor.org/stable/2866091,W. Gordon Zeeveld,Folger Shakespeare Library,eng,470,471,,509,2,unigram; bigram; trigram
http://www.jstor.org/stable/2866447,Review Article,Shakespeare Quarterly,1956,,article,jstor,1956-04-01,2,7,http://www.jstor.org/stable/2866447,Alice Walker,Folger Shakespeare Library,eng,243,246,,2196,4,unigram; bigram; trigram
http://www.jstor.org/stable/2870157,Front Matter,Shakespeare Quarterly,1984,,article,jstor,1984-12-01,4,35,http://www.jstor.org/stable/2870157,,Folger Shakespeare Library,eng,385,387,,1231,5,unigram; bigram; trigram
http://www.jstor.org/stable/2869040,Editions and Translations; Selections and Adaptations,Shakespeare Quarterly,1975,,article,jstor,1975-10-01,4,26,http://www.jstor.org/stable/2869040,Thomas F. Grieve; Rudolph E. Habenicht,Folger Shakespeare Library,eng,333,336,,2232,4,unigram; bigram; trigram
http://www.jstor.org/stable/2869243,"Othello: ""A Fixed Figure for the Time of Scorn""",Shakespeare Quarterly,1975,,article,jstor,1975-04-01,,2,http://www.jstor.org/stable/2869243,Jean Klene,Folger Shakespeare Library,eng,139,150,,6362,12,unigram; bigram; trigram
http://www.jstor.org/stable/2869058,The Director as Mythagog: Jonathan Miller Talks about Directing Shakespeare,Shakespeare Quarterly,1976,,article,jstor,1976-01-01,1,27,http://www.jstor.org/stable/2869058,Helen Krich Chinoy,Folger Shakespeare Library,eng,7,14,,3596,8,unigram; bigram; trigram
http://www.jstor.org/stable/2866181,Review Article,Shakespeare Quarterly,1953,,article,jstor,1953-04-01,2,4,http://www.jstor.org/stable/2866181,Hubert Heffner,Folger Shakespeare Library,eng,187,189,,1332,3,unigram; bigram; trigram
http://www.jstor.org/stable/3844255,Review Article,Shakespeare Quarterly,2002,,article,jstor,2002-12-01,4,53,http://www.jstor.org/stable/3844255,Valerie Wayne,Folger Shakespeare Library,eng,584,586,,1628,3,unigram; bigram; trigram
http://www.jstor.org/stable/2870470,Review Article,Shakespeare Quarterly,1991,,article,jstor,1991-12-01,4,42,http://www.jstor.org/stable/2870470,Peter W. M. Blayney,Folger Shakespeare Library,eng,493,497,,2993,5,unigram; bigram; trigram
http://www.jstor.org/stable/2871098,Household Kates: Domesticating Commodities in The Taming of the Shrew,Shakespeare Quarterly,1996,,article,jstor,1996-07-01,2,47,http://www.jstor.org/stable/2871098,Natasha Korda,Folger Shakespeare Library,eng,109,131,,13398,23,unigram; bigram; trigram
http://www.jstor.org/stable/40731148,Review Article,Shakespeare Quarterly,2010,,article,jstor,2010-04-01,1,61,http://www.jstor.org/stable/40731148,Heather Hirschfeld,Folger Shakespeare Library,eng,138,141,,1674,4,unigram; bigram; trigram
http://www.jstor.org/stable/41350163,Review Article,Shakespeare Quarterly,2011,,article,jstor,2011-12-01,4,62,http://www.jstor.org/stable/41350163,Karen Cunningham,Folger Shakespeare Library,eng,620,622,,1150,3,unigram; bigram; trigram
http://www.jstor.org/stable/2870075,Back Matter,Shakespeare Quarterly,1984,,article,jstor,1984-01-01,5,35,http://www.jstor.org/stable/2870075,,Folger Shakespeare Library,eng,,,,428,2,unigram; bigram; trigram
