id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
ark://27927/phx6b98x6m,untitled,The Journal of American Culture,2016,10.1111/jacc.12581,article,,portico,,2016-09-01,3,39,http://doi.org/10.1111/jacc.12581,Martin J. Manning,"John Wiley & Sons, Inc.",eng,355,356,,springsteen; bruce springsteen; springsteen american; buffalo bill; bruce springsteen american; springsteen american poet; american poet; wild west; deardorff; american rock,1506,2,unigram; bigram; trigram
http://www.jstor.org/stable/27087867,Beginning,Cinéaste,2021,,article,book-review,jstor,,2021-04-01,2,46,http://www.jstor.org/stable/27087867,Chris Shields; Ilan Amouyal; David Zerat; Rati Oneli; Paul Rozenberg; Dea Kulumbegashvili,"Cineaste Publishers, Inc.",eng,46,48,,giorgi; tbilisi; wiseman; frederick wiseman; georgian; rati oneli; giorgi saba; ostranenie; soviet; film yana,3734,3,unigrams; bigrams; trigrams
https://chroniclingamerica.loc.gov/lccn/sn83045462/1956-08-12/ed-1,"Evening star. [volume] : (Washington, D.C.) 1854-1972, issue 1956-08-12","Evening star. [volume] : (Washington, D.C.) 1854-1972",1956,,newspaper,,loc-chronam,,1956-08-12,,,https://chroniclingamerica.loc.gov/lccn/sn83045462/1956-08-12/ed-1/,,W.D. Wallach & Hope,eng,1,196,"Washington, D.C.",convention; truman; delegates; rights plank; harriman; gov harriman; platform; limping man; democratic; chicago,489693,196,unigrams; bigrams; trigrams
ark://27927/phw95g4kd0,Policing Cinema: Movies and Censorship in Early-Twentieth-Century America (review),The Moving Image,2005,10.1353/mov.2005.0030,article,Review,portico,,2005-11-22,2,5,http://doi.org/10.1353/mov.2005.0030,Jan-Christopher. Horak,Project MUSE,eng,163,165,,grieveson; hollywood; cinema; censorship; grieveson argues; government censorship; industry; hollywood outsiders; film industry; entertainment,1796,3,unigram; bigram; trigram
ark://27927/phzg2v3zr7n,Notes,Reel World,2015,,chapter,,portico,,2015-01-01,,,,"Pandian, Anand; Murch, Walter",Duke University Press,eng,,,,cinema; chennai; deleuze; tamil cinema; cinematic; deleuze cinema; bollywood; indian; directed; anthropology,11135,24,unigram; bigram; trigram
ark://27927/pjb4k78qtnn,"From Wu Xun to Lu Xun: Film, Stardom, and Subjectivity in Mao’s China (1949–1976)",Modern China,2022,10.1177/00977004211002752,article,research-article,portico,,2022-05-01,3,48,http://doi.org/10.1177/00977004211002752,Qiliang He; Meng Wang,SAGE Publications,eng,650,675,,zhao dan; chen liting; stardom; shanghai; cultural revolution; xia yan; sma b177; zhao dan’s; political; zhou yang,11480,26,unigram; bigram; trigram
https://chroniclingamerica.loc.gov/lccn/sn84020645/1919-11-23/ed-1,"The Montgomery advertiser. [volume] : (Montgomery, Ala.) 1885-1982, issue 1919-11-23","The Montgomery advertiser. [volume] : (Montgomery, Ala.) 1885-1982",1919,,newspaper,,loc-chronam,,1919-11-23,,,https://chroniclingamerica.loc.gov/lccn/sn84020645/1919-11-23/ed-1/,,"Screws, Cory & Glass",eng,1,44,"Montgomery, Ala.",montgomery; veiled prophets; senator; treaty; chief nixon; assistant chief; senator underwood; commission; lalla rookh; yarborough,189092,44,unigrams; bigrams; trigrams
ark://27927/pbd1kw29hmr,5 Postwar Los Angeles: suburban Eden and the fall into history,The Cambridge Companion to the Literature of Los Angeles,2011,10.1017/CCOL9780521514705.006,chapter,,portico,,2011-01-01,,,https://doi.org/10.1017/CCOL9780521514705.006,Kevin R. McNamara,Cambridge University Press,eng,59,74,,angeles; suburbs; collections online; tortilla curtain; cambridge collections; freeway; cambridge collections online; suburban; postwar los; california,6922,16,unigram; bigram; trigram
ark://27927/pjb72b975k0,The First Monster Boom,Transnational Kaiju,2022,,chapter,,portico,,2022-08-31,,,,Steven Rawle,Edinburgh University Press,eng,48,77,,monster; kaijū eiga; godzilla; japanese; frankenstein conquers; king kong; kaijū films; toshio; coproduction; monster boom,15391,30,unigram; bigram; trigram
ark://27927/pgj2czn2hrf,Managing human resource romance at work: towards a “considerate” approach,Journal of Management Development,2013,10.1108/02621711311286991,article,,portico,,2012-12-28,1,32,http://doi.org/10.1108/02621711311286991,FarhadAnaloui JanaKolesnikova,Emerald Group Publishing,eng,36,56,,workplace romance; aguinis; approach; managing workplace; management; considerate approach; risk minimizing; managerial; employees; strategic,11272,21,unigram; bigram; trigram
ark://27927/phx6rfxwx4x,"Caste, Media and Political Power in Andhra Pradesh: The Case of Eenadu",History and Sociology of South Asia,2017,10.1177/2230807517718308,article,,portico,,2017-07-01,2,11,http://doi.org/10.1177/2230807517718308,Sambaiah Gundimeda,SAGE Publications,eng,192,203,,andhra pradesh; telugu; arrack; accessed; anti arrack; lakshmi parvathi; political; congress; political power; government,5943,12,unigram; bigram; trigram
ark://27927/pbq6zpp3f,The enemy within,Hollywood's Cold War,2007,10.3366/j.ctt1r26fd.7,chapter,,portico,,2007-09-19,,,https://doi.org/10.3366/j.ctt1r26fd.7,Tony Shaw,Edinburgh University Press,eng,42,71,,communist; walk east; beacon; hollywood; soviet; enemy within; movies; american; espionage; film industry,12964,30,unigram; bigram; trigram
http://www.jstor.org/stable/jj.20367933,Non-Fiction Cinema in Postwar Europe,,2024,,book,book,jstor,,2024-01-01,,,http://www.jstor.org/stable/jj.20367933,Lucie Česálková; Johannes Praetorius-Rhein; Perrine Val; Paolo Villa,Amsterdam University Press,eng,,,Amsterdam,triennale; corbusier; architects; perrine val; paolo villa; architecture; bottoni; cinema; reconstruction; documentaries,193582,,unigrams; bigrams; trigrams; fullText
ark://27927/pgjq2vm0pc,1912,Film History,2012,10.2979/filmhistory.24.4.472,article,research-article,portico,,2012-01-01,4,24,http://doi.org/10.2979/filmhistory.24.4.472,,Indiana University Press,eng,472,487,,flossie florede; film history; airship; slater; stockade; elephants; camera; studio; miss florede; jungle,10032,16,unigram; bigram; trigram
